dataset,flakyTrain,nonFlakyTrain,flakyTest,nonFlakyTest,precision,recall,storage,preparationTime,predictionTime
achilles,1106.0,21362.0,13.0,2.0,0.8333333333333334,0.0846153846153846,255910766,1100.9727569544998,0.04902741774502306
alluxio-tachyon,1106.0,21362.0,1.0,547.0,0.0022753585452032292,0.2,255910766,1100.7897853224667,0.048994836631057456
ambari,1106.0,21362.0,1.0,2.0,1.0,0.7666666666666667,255910766,1100.7902133101334,0.049136365879159996
hadoop,1106.0,21362.0,61.0,597.0,0.2374309538146905,0.6415300546448088,255910766,1100.8070402086664,0.04899480781824656
jackrabbit-oak,1106.0,21362.0,2.0,1843.0,0.003526923740984613,0.31666666666666665,255910766,1100.8015869093665,0.048995872524030884
jimfs,1106.0,21362.0,1.0,90.0,0.0285519573019573,0.36666666666666664,255910766,1100.825416951633,0.04900075444533021
ninja,1106.0,21362.0,4.0,187.0,0.055257447202493634,0.23333333333333334,255910766,1100.8164919713665,0.0489974901704541
okhttp,1106.0,21362.0,13.0,296.0,0.14527142244355062,0.4153846153846154,255910766,1100.7870186405,0.04899488767947105
oozie,1106.0,21362.0,171.0,63.0,0.9371983537265268,0.6068226120857699,255910766,1100.8033181362998,0.04899631270016673
oryx,1106.0,21362.0,3.0,74.0,0.2740079365079365,0.38888888888888906,255910766,1100.8263579564002,0.0490017037243742
spring-boot,1106.0,21362.0,3.0,1361.0,0.019466590547063466,0.15555555555555553,255910766,1100.8134833596002,0.04899601475692052
togglz,1106.0,21362.0,2.0,77.0,0.048650793650793646,0.11666666666666667,255910766,1100.8324049286664,0.04900192132202073
wro4j,1106.0,21362.0,2.0,201.0,0.03013227513227513,0.08333333333333333,255910766,1100.8219434078665,0.048997962206031705
naive bayes,-,-,-,-,0.278084873,0.336625419,-,-,-
