dataset,flakyTrain,nonFlakyTrain,flakyTest,nonFlakyTest,precision,recall,storage,preparationTime,predictionTime
achilles,1106.0,21362.0,13.0,2.0,1.0,0.9807692307692308,255910766,1679.3433492302001,0.07159685326607751
alluxio-tachyon,1106.0,21362.0,1.0,547.0,-,0.0,255910766,1653.2527349163995,0.07151125721206382
ambari,1106.0,21362.0,1.0,2.0,-,0.0,255910766,1658.0834944611502,0.07198308879034014
hadoop,1106.0,21362.0,61.0,597.0,1.0,0.3155737704918033,255910766,1662.7318320891,0.07187090120196402
jackrabbit-oak,1106.0,21362.0,2.0,1843.0,-,0.0,255910766,1653.8123588887997,0.07174027490866823
jimfs,1106.0,21362.0,1.0,90.0,1.0,0.5,255910766,1646.8158692924,0.07143472777637157
ninja,1106.0,21362.0,4.0,187.0,0.75,0.125,255910766,1656.5498683249991,0.07169213050512808
okhttp,1106.0,21362.0,13.0,296.0,1.0,0.5576923076923077,255910766,1656.4895669474,0.07175843296602442
oozie,1106.0,21362.0,171.0,63.0,1.0,0.7368421052631579,255910766,1653.7477650143,0.07210344756484068
oryx,1106.0,21362.0,3.0,74.0,-,0.0,255910766,1650.8355654055,0.07166346544518906
spring-boot,1106.0,21362.0,3.0,1361.0,-,0.0,255910766,1651.2801803656498,0.07137173292307267
togglz,1106.0,21362.0,2.0,77.0,-,0.0,255910766,1649.65768917255,0.07126522088199613
wro4j,1106.0,21362.0,2.0,201.0,-,0.0,255910766,1645.965280145,0.07123851368022291
