dataset,flakyTrain,nonFlakyTrain,flakyTest,nonFlakyTest,loss,accuracy,precision,recall,TP,TN,FP,FN
achilles,1106,21362,13,2,0.0027635639999061823,1.0,1.0,1.0,13.0,2.0,0.0,0.0
alluxio-tachyon,1106,21362,1,547,0.060872822999954224,0.9817517995834351,0.09090909361839294,1.0,1.0,537.0,10.0,0.0
ambari,1106,21362,1,2,0.08177865296602249,1.0,1.0,1.0,1.0,2.0,0.0,0.0
hadoop,1106,21362,61,597,0.35120946168899536,0.9316109418869019,0.625,0.6557376980781555,40.0,573.0,24.0,21.0
jackrabbit-oak,1106,21362,2,1843,0.012271187268197536,0.9967479705810547,0.1666666716337204,0.5,1.0,1838.0,5.0,1.0
jimfs,1106,21362,1,90,0.01750847138464451,0.9890109896659851,0.0,0.0,0.0,90.0,0.0,1.0
ninja,1106,21362,4,187,0.13624660670757294,0.9790576100349426,0.5,0.25,1.0,186.0,1.0,3.0
okhttp,1106,21362,13,296,0.11659719794988632,0.9741100072860718,1.0,0.38461539149284363,5.0,296.0,0.0,8.0
oozie,1106,21362,171,63,0.12289730459451675,0.9700854420661926,1.0,0.9590643048286438,164.0,63.0,0.0,7.0
oryx,1106,21362,3,74,0.14328111708164215,0.948051929473877,0.3333333432674408,0.3333333432674408,1.0,72.0,2.0,2.0
spring-boot,1106,21362,3,1361,0.0032397389877587557,0.9992668628692627,1.0,0.6666666865348816,2.0,1361.0,0.0,1.0
togglz,1106,21362,2,77,0.21046368777751923,0.9620253443717957,0.0,0.0,0.0,76.0,1.0,2.0
wro4j,1106,21362,2,201,0.08475876599550247,0.9753694534301758,0.20000000298023224,0.5,1.0,197.0,4.0,1.0
bilstm,-,-,-,-,-,-,0.5319930085769067,0.557647494169382,-,-,-,-
