dataset,flakyTrain,nonFlakyTrain,flakyTest,nonFlakyTest,k,sigma,precision,recall,storage,preparationTime,predictionTime
achilles,54.0,6.0,13.0,2.0,3,0.5,1.0,1.0,288244,16.736238141466625,0.2793251721799993
alluxio-tachyon,3.0,2189.0,1.0,548.0,3,0.5,1.0,0.5666666666666667,19296886,56.13271288286673,0.026070986596660406
ambari,3.0,6.0,1.0,2.0,3,0.5,0.9375,0.5,26833,3.0616804640333526,0.34060802099999987
hadoop,244.0,2387.0,61.0,597.0,3,0.5,0.8493453874492033,0.714207650273224,23681046,50.071836338096084,0.019468083629438627
jackrabbit-oak,6.0,7372.0,2.0,1843.0,3,0.5,0.0,0.0,74891006,208.21468411824404,0.028944276497013203
jimfs,6.0,358.0,1.0,90.0,3,0.5,0.8012820512820513,0.8333333333333334,2479086,5.271667053533417,0.014812744632600882
ninja,14.0,750.0,4.0,187.0,3,0.5,0.8905555555555557,0.6166666666666667,5829566,13.763476649900017,0.01836419808987789
okhttp,53.0,1185.0,13.0,297.0,3,0.5,0.8190880415880416,0.5564102564102564,10117974,29.198846859827945,0.023971797372168053
oozie,685.0,251.0,171.0,63.0,3,0.5,0.9982647371031516,0.9996101364522417,7347846,17.690211019666616,0.01926973221467235
oryx,10.0,298.0,3.0,74.0,3,0.5,0.7474358974358974,0.3777777777777777,2039206,5.823612873433309,0.019234840170995797
spring-boot,11.0,5445.0,3.0,1362.0,3,0.5,1.0,0.7333333333333335,53531454,112.13602489063737,0.021149819957994632
togglz,9.0,309.0,2.0,78.0,3,0.5,0.03985507246376811,0.05,2120790,5.288575350543541,0.016960807229038984
wro4j,8.0,802.0,2.0,201.0,3,0.5,0.0,0.0,6232222,15.004345940192131,0.018873371804308186
achilles,54.0,6.0,13.0,2.0,3,0.95,1.0,1.0,288244,0.10082701010003352,0.002045988751111104
alluxio-tachyon,3.0,2189.0,1.0,548.0,3,0.95,-,0.0,19296886,4.923483068417753,0.00267236120203186
ambari,3.0,6.0,1.0,2.0,3,0.95,-,0.0,26833,0.020310853749996718,0.0026202957277784355
hadoop,244.0,2387.0,61.0,597.0,3,0.95,0.9648799443230871,0.559016393442623,23681046,5.932645522063224,0.0026932630026395695
jackrabbit-oak,6.0,7372.0,2.0,1843.0,3,0.95,0.0,0.0,74891006,16.17558402923219,0.0029125903491785425
jimfs,6.0,358.0,1.0,90.0,3,0.95,1.0,0.7666666666666667,2479086,0.6982174711667157,0.0022347662542124822
ninja,14.0,750.0,4.0,187.0,3,0.95,0.9022988505747127,0.35833333333333334,5829566,1.514407846100122,0.0023299346268761743
okhttp,53.0,1185.0,13.0,297.0,3,0.95,1.0,0.40000000000000013,10117974,2.7406200075827463,0.0026038613518838396
oozie,685.0,251.0,171.0,63.0,3,0.95,0.998838316422563,0.9939571150097465,7347846,2.1639110305333804,0.0026642780749288174
oryx,10.0,298.0,3.0,74.0,3,0.95,1.0,0.06666666666666667,2039206,0.6124005376332813,0.0023384009541122562
spring-boot,11.0,5445.0,3.0,1362.0,3,0.95,1.0,0.3666666666666666,53531454,11.985357190177657,0.0027884751744486637
togglz,9.0,309.0,2.0,78.0,3,0.95,0.0,0.0,2120790,0.6359683004908205,0.0023234542992791453
