dataset,flakyTrain,nonFlakyTrain,flakyTest,nonFlakyTest,k,sigma,precision,recall,storage,preparationTime,predictionTime
achilles,1106,21362,13,2,3,0.5,1,1,255910766,182.106775,0.024995144
alluxio-tachyon,1106,21362,1,547,3,0.5,0.383950617,0.633333333,255910766,182.6764832,0.010489844
ambari,1106,21362,1,2,3,0.5,1,0.766666667,255910766,181.9817827,0.082666193
hadoop,1106,21362,61,597,3,0.5,0.835809785,0.690710383,255910766,181.95799,0.010376161
jackrabbit-oak,1106,21362,2,1843,3,0.5,0,0,255910766,181.9268817,0.010102727
jimfs,1106,21362,1,90,3,0.5,0.643678161,0.833333333,255910766,181.9359133,0.012938434
ninja,1106,21362,4,187,3,0.5,0.848333333,0.683333333,255910766,182.0102283,0.011222183
okhttp,1106,21362,13,296,3,0.5,0.807580383,0.664102564,255910766,181.9354053,0.010805636
oozie,1106,21362,171,63,3,0.5,1,0.940740741,255910766,181.9491474,0.011097518
oryx,1106,21362,3,74,3,0.5,0.660555556,0.411111111,255910766,181.9320042,0.013119979
spring-boot,1106,21362,3,1361,3,0.5,0.967222222,0.833333333,255910766,181.9578112,0.010153904
togglz,1106,21362,2,77,3,0.5,0,0,255910766,181.9585193,0.012904107
wro4j,1106,21362,2,201,3,0.5,0,0,255910766,181.9671387,0.011252203
achilles,1106,21362,13,2,3,0.95,1,1,255910766,181.9697895,0.023767195
alluxio-tachyon,1106,21362,1,547,3,0.95,0,0,255910766,181.9633381,0.01042638
ambari,1106,21362,1,2,3,0.95,-,0,255910766,181.9494142,0.077452153
hadoop,1106,21362,61,597,3,0.95,0.929439464,0.531693989,255910766,181.9746114,0.010429212
jackrabbit-oak,1106,21362,2,1843,3,0.95,0,0,255910766,183.6696872,0.010183744
jimfs,1106,21362,1,90,3,0.95,1,0.833333333,255910766,181.9923824,0.013040712
ninja,1106,21362,4,187,3,0.95,0.805555556,0.316666667,255910766,181.9583512,0.011289949
okhttp,1106,21362,13,296,3,0.95,1,0.371794872,255910766,181.9631024,0.010870334
oozie,1106,21362,171,63,3,0.95,1,0.889278752,255910766,181.9956403,0.011168882
oryx,1106,21362,3,74,3,0.95,0.333333333,0.011111111,255910766,181.9757346,0.013363467
spring-boot,1106,21362,3,1361,3,0.95,1,0.211111111,255910766,181.9619061,0.010163602
togglz,1106,21362,2,77,3,0.95,0,0,255910766,181.9460693,0.013055708
wro4j,1106,21362,2,201,3,0.95,0,0,255910766,182.030581,0.011348318
achilles,1106,21362,13,2,7,0.5,1,1,255910766,182.0063835,0.025225448
alluxio-tachyon,1106,21362,1,547,7,0.5,0.301149425,0.633333333,255910766,182.0210014,0.010756566
ambari,1106,21362,1,2,7,0.5,-,0,255910766,181.9641091,0.082104851
hadoop,1106,21362,61,597,7,0.5,0.873413086,0.644262295,255910766,181.9600831,0.010671253
jackrabbit-oak,1106,21362,2,1843,7,0.5,0,0,255910766,181.9579223,0.010491815
jimfs,1106,21362,1,90,7,0.5,0.799382716,0.9,255910766,182.1862679,0.013526777
ninja,1106,21362,4,187,7,0.5,0.839285714,0.458333333,255910766,181.9637463,0.011582667
okhttp,1106,21362,13,296,7,0.5,0.982272727,0.638461538,255910766,181.9384427,0.01114154
oozie,1106,21362,171,63,7,0.5,1,0.930409357,255910766,181.9664883,0.011407911
oryx,1106,21362,3,74,7,0.5,0.524305556,0.211111111,255910766,181.9433114,0.01378758
spring-boot,1106,21362,3,1361,7,0.5,0.970238095,0.577777778,255910766,181.9649662,0.010464876
togglz,1106,21362,2,77,7,0.5,0,0,255910766,181.9873084,0.013272627
wro4j,1106,21362,2,201,7,0.5,0.535714286,0.133333333,255910766,181.9453106,0.01151569
achilles,1106,21362,13,2,7,0.95,1,0.984615385,255910766,181.9314707,0.024224732
alluxio-tachyon,1106,21362,1,547,7,0.95,0,0,255910766,181.9830436,0.010714968
ambari,1106,21362,1,2,7,0.95,-,0,255910766,182.0422456,0.077763732
hadoop,1106,21362,61,597,7,0.95,0.95672862,0.292896175,255910766,182.0088223,0.01067237
jackrabbit-oak,1106,21362,2,1843,7,0.95,0,0,255910766,181.9641338,0.010416427
jimfs,1106,21362,1,90,7,0.95,1,0.566666667,255910766,182.8682918,0.014351545
ninja,1106,21362,4,187,7,0.95,-,0,255910766,182.0942198,0.011481505
okhttp,1106,21362,13,296,7,0.95,1,0.228205128,255910766,181.9271237,0.01104181
oozie,1106,21362,171,63,7,0.95,1,0.772904483,255910766,181.9770003,0.011327697
oryx,1106,21362,3,74,7,0.95,-,0,255910766,181.9420283,0.013532137
spring-boot,1106,21362,3,1361,7,0.95,-,0,255910766,181.9822453,0.010505318
togglz,1106,21362,2,77,7,0.95,0,0,255910766,181.9846652,0.013420869
wro4j,1106,21362,2,201,7,0.95,0,0,255910766,181.9817772,0.011573634
k 3 sigma 0.5,-,-,-,-,-,-,0.678927505,0.621388733,-,-,-
k 3 sigma 0.95,-,-,-,-,-,-,0.589027363,0.347082486,-,-,-
k 7 sigma 0.5,-,-,-,-,-,-,0.6521468,0.510585173,-,-,-
k 7 sigma 0.95,-,-,-,-,-,-,0.413060718,0.23710732,-,-,-
