dataset,flakyTrain,nonFlakyTrain,flakyTest,nonFlakyTest,loss,accuracy,precision,recall,TP,TN,FP,FN
achilles,1106,21362,13,2,0.015717415139079094,1.0,1.0,1.0,15.0,15.0,0.0,0.0
alluxio-tachyon,1106,21362,1,547,0.005768752656877041,0.9981752038002014,0.9981752038002014,0.9981752038002014,547.0,547.0,1.0,1.0
ambari,1106,21362,1,2,3.156724214553833,0.6666666865348816,0.6666666865348816,0.6666666865348816,2.0,2.0,1.0,1.0
hadoop,1106,21362,61,597,0.19846323132514954,0.9635258316993713,0.9635258316993713,0.9635258316993713,634.0,634.0,24.0,24.0
jackrabbit-oak,1106,21362,2,1843,0.014302917756140232,0.9956639409065247,0.9956639409065247,0.9956639409065247,1837.0,1837.0,8.0,8.0
jimfs,1106,21362,1,90,0.06340006738901138,0.9890109896659851,0.9890109896659851,0.9890109896659851,90.0,90.0,1.0,1.0
ninja,1106,21362,4,187,0.007295443210750818,0.9947643876075745,0.9947643876075745,0.9947643876075745,190.0,190.0,1.0,1.0
okhttp,1106,21362,13,296,0.04281700775027275,0.9902912378311157,0.9902912378311157,0.9902912378311157,306.0,306.0,3.0,3.0
oozie,1106,21362,171,63,0.05545927211642265,0.9871794581413269,0.9871794581413269,0.9871794581413269,231.0,231.0,3.0,3.0
oryx,1106,21362,3,74,0.0905725359916687,0.9610389471054077,0.9610389471054077,0.9610389471054077,74.0,74.0,3.0,3.0
spring-boot,1106,21362,3,1361,0.0008208479266613722,1.0,1.0,1.0,1364.0,1364.0,0.0,0.0
togglz,1106,21362,2,77,0.23927630484104156,0.9620253443717957,0.9620253443717957,0.9620253443717957,76.0,76.0,3.0,3.0
wro4j,1106,21362,2,201,0.03932571038603783,0.9901477694511414,0.9901477694511414,0.9901477694511414,201.0,201.0,2.0,2.0
