dataset,flakyTrain,nonFlakyTrain,flakyTest,nonFlakyTest,loss,accuracy,precision,recall,TP,TN,FP,FN
achilles,1106,21362,13,2,0.10708439350128174,0.9333333373069763,1.0,0.9230769276618958,12.0,2.0,0.0,1.0
alluxio-tachyon,1106,21362,1,547,0.0021237400360405445,1.0,1.0,1.0,1.0,547.0,0.0,0.0
ambari,1106,21362,1,2,2.9536335468292236,0.6666666865348816,0.0,0.0,0.0,2.0,0.0,1.0
hadoop,1106,21362,61,597,0.17525877058506012,0.9696048498153687,0.936170220375061,0.7213114500045776,44.0,594.0,3.0,17.0
jackrabbit-oak,1106,21362,2,1843,0.01581089198589325,0.99891597032547,0.0,0.0,0.0,1843.0,0.0,2.0
jimfs,1106,21362,1,90,0.0013813215773552656,1.0,1.0,1.0,1.0,90.0,0.0,0.0
ninja,1106,21362,4,187,0.07463979721069336,0.9895287752151489,0.75,0.75,3.0,186.0,1.0,1.0
okhttp,1106,21362,13,296,0.07026955485343933,0.9902912378311157,1.0,0.7692307829856873,10.0,296.0,0.0,3.0
oozie,1106,21362,171,63,0.2948474586009979,0.94017094373703,1.0,0.9181286692619324,157.0,63.0,0.0,14.0
oryx,1106,21362,3,74,0.26556673645973206,0.948051929473877,0.0,0.0,0.0,73.0,1.0,3.0
spring-boot,1106,21362,3,1361,0.010152104310691357,0.9985337257385254,1.0,0.3333333432674408,1.0,1361.0,0.0,2.0
togglz,1106,21362,2,77,0.3398714065551758,0.949367105960846,0.0,0.0,0.0,75.0,2.0,2.0
wro4j,1106,21362,2,201,0.05332643911242485,0.9901477694511414,0.0,0.0,0.0,201.0,0.0,2.0
lstm,-,-,-,-,-,-,0.5912438631057739,0.4934677825524257,-,-,-,-
