dataset,flakyTrain,nonFlakyTrain,flakyTest,nonFlakyTest,loss,accuracy,precision,recall,TP,TN,FP,FN
achilles,1106,21362,13,2,6.0404331634345e-06,1.0,1.0,1.0,13.0,2.0,0.0,0.0
alluxio-tachyon,1106,21362,1,547,0.028029771521687508,0.9963503479957581,0.0,0.0,0.0,546.0,1.0,1.0
ambari,1106,21362,1,2,2.9116010665893555,0.6666666865348816,0.0,0.0,0.0,2.0,0.0,1.0
hadoop,1106,21362,61,597,0.17798270285129547,0.9589665532112122,0.774193525314331,0.7868852615356445,48.0,583.0,14.0,13.0
jackrabbit-oak,1106,21362,2,1843,0.009760241955518723,0.9983739852905273,0.0,0.0,0.0,1842.0,1.0,2.0
jimfs,1106,21362,1,90,0.0003698925138451159,1.0,1.0,1.0,1.0,90.0,0.0,0.0
ninja,1106,21362,4,187,0.028657298535108566,0.9895287752151489,1.0,0.5,2.0,187.0,0.0,2.0
okhttp,1106,21362,13,296,0.022489679977297783,0.9967637658119202,1.0,0.9230769276618958,12.0,296.0,0.0,1.0
oozie,1106,21362,171,63,0.07571037858724594,0.9786324501037598,1.0,0.9707602262496948,166.0,63.0,0.0,5.0
oryx,1106,21362,3,74,0.19214345514774323,0.9220778942108154,0.0,0.0,0.0,71.0,3.0,3.0
spring-boot,1106,21362,3,1361,0.0004001073248218745,1.0,1.0,1.0,3.0,1361.0,0.0,0.0
togglz,1106,21362,2,77,0.32836276292800903,0.9620253443717957,0.0,0.0,0.0,76.0,1.0,2.0
wro4j,1106,21362,2,201,0.11006762832403183,0.9852216839790344,0.0,0.0,0.0,200.0,1.0,2.0
lstm,-,-,-,-,-,-,0.5210918096395639,0.47544018580363345,-,-,-,-
