dataset,flakyTrain,nonFlakyTrain,flakyTest,nonFlakyTest,precision,recall,storage,preparationTime,predictionTime
achilles,1106.0,21362.0,13.0,2.0,1.0,0.9692307692307693,255910766,3578.9844068656334,0.1584248700476521
alluxio-tachyon,1106.0,21362.0,1.0,547.0,0.16666666666666666,0.03333333333333333,255910766,3574.919674905401,0.1577542450417172
ambari,1106.0,21362.0,1.0,2.0,1.0,0.36666666666666664,255910766,3574.3713706763006,0.16137980175439412
hadoop,1106.0,21362.0,61.0,597.0,0.965270922174422,0.5469945355191257,255910766,3577.852310083867,0.1577443092557401
jackrabbit-oak,1106.0,21362.0,2.0,1843.0,0.047619047619047616,0.016666666666666666,255910766,3573.794880160733,0.15773328214250373
jimfs,1106.0,21362.0,1.0,90.0,0.8333333333333334,0.6333333333333333,255910766,3573.3434461406005,0.15785635434415554
ninja,1106.0,21362.0,4.0,187.0,0.8137254901960784,0.15833333333333333,255910766,3579.069336645667,0.15779356720856216
okhttp,1106.0,21362.0,13.0,296.0,0.9697222222222222,0.6051282051282053,255910766,3575.804696991666,0.15777368454901197
oozie,1106.0,21362.0,171.0,63.0,1.0,0.9029239766081874,255910766,3575.2963858056664,0.15778007113376258
oryx,1106.0,21362.0,3.0,74.0,0.6428571428571429,0.13333333333333333,255910766,3574.9206519208997,0.15788698565277176
spring-boot,1106.0,21362.0,3.0,1361.0,1.0,0.3,255910766,3576.6704517248336,0.15773537856640116
togglz,1106.0,21362.0,2.0,77.0,0.0,0.0,255910766,3575.0276308453667,0.1578895072986571
wro4j,1106.0,21362.0,2.0,201.0,0.0,0.0,255910766,3574.6209923840674,0.15779193985400253
random forest 100 estimators,-,-,-,-,0.6491688326976087,0.35891878101176566,-,-,-
